DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2026-01-12;NO1;Husholdning;615674;1119016
2026-01-12;NO1;Hytter og fritidseiendommer;78887;110972
2026-01-12;NO2;Husholdning;437776;632149
2026-01-12;NO2;Hytter og fritidseiendommer;82044;106634
2026-01-12;NO3;Husholdning;10096;409125
2026-01-12;NO3;Hytter og fritidseiendommer;5219;63000
2026-01-12;NO4;Husholdning;0;245397
2026-01-12;NO4;Hytter og fritidseiendommer;0;44642
2026-01-12;NO5;Husholdning;131311;259258
2026-01-12;NO5;Hytter og fritidseiendommer;34191;49291
2026-01-13;NO1;Husholdning;618028;1119041
2026-01-13;NO1;Hytter og fritidseiendommer;79015;110973
2026-01-13;NO2;Husholdning;438987;632193
2026-01-13;NO2;Hytter og fritidseiendommer;82171;106633
2026-01-13;NO3;Husholdning;10390;409152
2026-01-13;NO3;Hytter og fritidseiendommer;5322;63000
2026-01-13;NO4;Husholdning;0;245399
2026-01-13;NO4;Hytter og fritidseiendommer;0;44645
2026-01-13;NO5;Husholdning;131914;259260
2026-01-13;NO5;Hytter og fritidseiendommer;34269;49291
2026-01-14;NO1;Husholdning;619932;1119084
2026-01-14;NO1;Hytter og fritidseiendommer;79138;110974
2026-01-14;NO2;Husholdning;439973;632215
2026-01-14;NO2;Hytter og fritidseiendommer;82282;106634
2026-01-14;NO3;Husholdning;10713;409141
2026-01-14;NO3;Hytter og fritidseiendommer;5431;62996
2026-01-14;NO4;Husholdning;0;245400
2026-01-14;NO4;Hytter og fritidseiendommer;0;44646
2026-01-14;NO5;Husholdning;132362;259262
2026-01-14;NO5;Hytter og fritidseiendommer;34322;49295
2026-01-15;NO1;Husholdning;621370;1119133
2026-01-15;NO1;Hytter og fritidseiendommer;79236;110978
2026-01-15;NO2;Husholdning;440712;632138
2026-01-15;NO2;Hytter og fritidseiendommer;82407;106722
2026-01-15;NO3;Husholdning;11264;409173
2026-01-15;NO3;Hytter og fritidseiendommer;5594;62996
2026-01-15;NO4;Husholdning;0;245406
2026-01-15;NO4;Hytter og fritidseiendommer;0;44645
2026-01-15;NO5;Husholdning;132731;259254
2026-01-15;NO5;Hytter og fritidseiendommer;34387;49301
2026-01-16;NO1;Husholdning;622405;1119137
2026-01-16;NO1;Hytter og fritidseiendommer;79317;110980
2026-01-16;NO2;Husholdning;441265;632119
2026-01-16;NO2;Hytter og fritidseiendommer;82493;106770
2026-01-16;NO3;Husholdning;11647;409197
2026-01-16;NO3;Hytter og fritidseiendommer;5742;63002
2026-01-16;NO4;Husholdning;0;245407
2026-01-16;NO4;Hytter og fritidseiendommer;0;44640
2026-01-16;NO5;Husholdning;132993;259288
2026-01-16;NO5;Hytter og fritidseiendommer;34426;49301
2026-01-17;NO1;Husholdning;623059;1119115
2026-01-17;NO1;Hytter og fritidseiendommer;79358;110980
2026-01-17;NO2;Husholdning;441623;632112
2026-01-17;NO2;Hytter og fritidseiendommer;82530;106779
2026-01-17;NO3;Husholdning;11868;409201
2026-01-17;NO3;Hytter og fritidseiendommer;5828;62998
2026-01-17;NO4;Husholdning;0;245414
2026-01-17;NO4;Hytter og fritidseiendommer;0;44640
2026-01-17;NO5;Husholdning;133199;259274
2026-01-17;NO5;Hytter og fritidseiendommer;34446;49303
2026-01-18;NO1;Husholdning;623915;1119122
2026-01-18;NO1;Hytter og fritidseiendommer;79424;110981
2026-01-18;NO2;Husholdning;442099;632098
2026-01-18;NO2;Hytter og fritidseiendommer;82595;106798
2026-01-18;NO3;Husholdning;12281;409207
2026-01-18;NO3;Hytter og fritidseiendommer;5973;62995
2026-01-18;NO4;Husholdning;0;245420
2026-01-18;NO4;Hytter og fritidseiendommer;0;44636
2026-01-18;NO5;Husholdning;133477;259275
2026-01-18;NO5;Hytter og fritidseiendommer;34483;49303
2026-01-19;NO1;Husholdning;624994;1119141
2026-01-19;NO1;Hytter og fritidseiendommer;79506;110984
2026-01-19;NO2;Husholdning;442624;632113
2026-01-19;NO2;Hytter og fritidseiendommer;82651;106799
2026-01-19;NO3;Husholdning;12896;409209
2026-01-19;NO3;Hytter og fritidseiendommer;6184;62993
2026-01-19;NO4;Husholdning;0;245419
2026-01-19;NO4;Hytter og fritidseiendommer;0;44637
2026-01-19;NO5;Husholdning;133811;259281
2026-01-19;NO5;Hytter og fritidseiendommer;34540;49303
2026-01-20;NO1;Husholdning;625978;1119182
2026-01-20;NO1;Hytter og fritidseiendommer;79586;110987
2026-01-20;NO2;Husholdning;443117;632143
2026-01-20;NO2;Hytter og fritidseiendommer;82698;106796
2026-01-20;NO3;Husholdning;13560;409217
2026-01-20;NO3;Hytter og fritidseiendommer;6402;62994
2026-01-20;NO4;Husholdning;0;245418
2026-01-20;NO4;Hytter og fritidseiendommer;0;44638
2026-01-20;NO5;Husholdning;134149;259290
2026-01-20;NO5;Hytter og fritidseiendommer;34575;49305
2026-01-21;NO1;Husholdning;626861;1119236
2026-01-21;NO1;Hytter og fritidseiendommer;79643;110987
2026-01-21;NO2;Husholdning;443748;632150
2026-01-21;NO2;Hytter og fritidseiendommer;82759;106799
2026-01-21;NO3;Husholdning;13983;409228
2026-01-21;NO3;Hytter og fritidseiendommer;6516;62995
2026-01-21;NO4;Husholdning;0;245423
2026-01-21;NO4;Hytter og fritidseiendommer;0;44637
2026-01-21;NO5;Husholdning;134415;259297
2026-01-21;NO5;Hytter og fritidseiendommer;34622;49306
2026-01-22;NO1;Husholdning;626274;1116577
2026-01-22;NO1;Hytter og fritidseiendommer;79531;110502
2026-01-22;NO2;Husholdning;442532;629384
2026-01-22;NO2;Hytter og fritidseiendommer;82521;106285
2026-01-22;NO3;Husholdning;14287;408086
2026-01-22;NO3;Hytter og fritidseiendommer;6634;62690
2026-01-22;NO4;Husholdning;0;244570
2026-01-22;NO4;Hytter og fritidseiendommer;0;44171
2026-01-22;NO5;Husholdning;134319;258238
2026-01-22;NO5;Hytter og fritidseiendommer;34563;49028
2026-01-23;NO1;Husholdning;626891;1116606
2026-01-23;NO1;Hytter og fritidseiendommer;79563;110505
2026-01-23;NO2;Husholdning;442992;629395
2026-01-23;NO2;Hytter og fritidseiendommer;82578;106298
2026-01-23;NO3;Husholdning;14568;408097
2026-01-23;NO3;Hytter og fritidseiendommer;6734;62687
2026-01-23;NO4;Husholdning;0;244571
2026-01-23;NO4;Hytter og fritidseiendommer;0;44165
2026-01-23;NO5;Husholdning;134522;258243
2026-01-23;NO5;Hytter og fritidseiendommer;34590;49033
2026-01-24;NO1;Husholdning;627366;1116606
2026-01-24;NO1;Hytter og fritidseiendommer;79602;110505
2026-01-24;NO2;Husholdning;443259;629387
2026-01-24;NO2;Hytter og fritidseiendommer;82607;106298
2026-01-24;NO3;Husholdning;14732;408098
2026-01-24;NO3;Hytter og fritidseiendommer;6808;62687
2026-01-24;NO4;Husholdning;0;244570
2026-01-24;NO4;Hytter og fritidseiendommer;0;44164
2026-01-24;NO5;Husholdning;134668;258241
2026-01-24;NO5;Hytter og fritidseiendommer;34611;49033
