DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-10-16;NO4;Hytter og fritidseiendommer;0;44517
2025-10-16;NO5;Husholdning;77537;258628
2025-10-16;NO5;Hytter og fritidseiendommer;25746;49140
2025-10-17;NO1;Husholdning;442180;1117063
2025-10-17;NO1;Hytter og fritidseiendommer;64965;110819
2025-10-17;NO2;Husholdning;338772;630595
2025-10-17;NO2;Hytter og fritidseiendommer;70347;106474
2025-10-17;NO3;Husholdning;577;408273
2025-10-17;NO3;Hytter og fritidseiendommer;651;63012
2025-10-17;NO4;Husholdning;0;245341
2025-10-17;NO4;Hytter og fritidseiendommer;0;44522
2025-10-17;NO5;Husholdning;78235;258641
2025-10-17;NO5;Hytter og fritidseiendommer;25878;49137
2025-10-18;NO1;Husholdning;446006;1117062
2025-10-18;NO1;Hytter og fritidseiendommer;65347;110820
2025-10-18;NO2;Husholdning;341082;630588
2025-10-18;NO2;Hytter og fritidseiendommer;70642;106473
2025-10-18;NO3;Husholdning;579;408274
2025-10-18;NO3;Hytter og fritidseiendommer;661;63012
2025-10-18;NO4;Husholdning;0;245339
2025-10-18;NO4;Hytter og fritidseiendommer;0;44523
2025-10-18;NO5;Husholdning;79154;258641
2025-10-18;NO5;Hytter og fritidseiendommer;26049;49142
2025-10-19;NO1;Husholdning;450465;1117069
2025-10-19;NO1;Hytter og fritidseiendommer;65808;110820
2025-10-19;NO2;Husholdning;343613;630587
2025-10-19;NO2;Hytter og fritidseiendommer;71029;106473
2025-10-19;NO3;Husholdning;597;408275
2025-10-19;NO3;Hytter og fritidseiendommer;679;63012
2025-10-19;NO4;Husholdning;0;245336
2025-10-19;NO4;Hytter og fritidseiendommer;0;44524
2025-10-19;NO5;Husholdning;80180;258641
2025-10-19;NO5;Hytter og fritidseiendommer;26257;49142
2025-10-20;NO1;Husholdning;454725;1117117
2025-10-20;NO1;Hytter og fritidseiendommer;66225;110824
2025-10-20;NO2;Husholdning;346150;630611
2025-10-20;NO2;Hytter og fritidseiendommer;71377;106474
2025-10-20;NO3;Husholdning;613;408282
2025-10-20;NO3;Hytter og fritidseiendommer;699;63013
2025-10-20;NO4;Husholdning;0;245331
2025-10-20;NO4;Hytter og fritidseiendommer;0;44526
2025-10-20;NO5;Husholdning;81170;258648
2025-10-20;NO5;Hytter og fritidseiendommer;26446;49143
2025-10-21;NO1;Husholdning;458142;1117179
2025-10-21;NO1;Hytter og fritidseiendommer;66585;110825
2025-10-21;NO2;Husholdning;348144;630667
2025-10-21;NO2;Hytter og fritidseiendommer;71688;106474
2025-10-21;NO3;Husholdning;623;408289
2025-10-21;NO3;Hytter og fritidseiendommer;717;63013
2025-10-21;NO4;Husholdning;0;245330
2025-10-21;NO4;Hytter og fritidseiendommer;0;44529
2025-10-21;NO5;Husholdning;81985;258705
2025-10-21;NO5;Hytter og fritidseiendommer;26627;49148
2025-10-22;NO1;Husholdning;460989;1117244
2025-10-22;NO1;Hytter og fritidseiendommer;66846;110823
2025-10-22;NO2;Husholdning;349869;630691
2025-10-22;NO2;Hytter og fritidseiendommer;71948;106480
2025-10-22;NO3;Husholdning;651;408302
2025-10-22;NO3;Hytter og fritidseiendommer;747;63014
