start_date,Consumption,NoMeasured,Price,Zone,MeanTemp
2022-01-02 02:00:00+00:00,397710.717,251669,1.04383,NO5,-9.280187606811523
2022-01-02 03:00:00+00:00,2113654.595,1065430,1.03943,NO1,2.301166296005249
2022-01-02 03:00:00+00:00,1068661.398,598516,1.03943,NO2,0.7054175138473511
2022-01-02 03:00:00+00:00,730315.736,387305,0.29527,NO3,-3.1000258922576904
2022-01-02 03:00:00+00:00,732013.073,240435,0.29527,NO4,-1.6675153970718384
2022-01-02 03:00:00+00:00,392015.621,251669,1.03943,NO5,-9.215455055236816
2022-01-02 04:00:00+00:00,2101249.081,1065430,1.05741,NO1,2.7178189754486084
2022-01-02 04:00:00+00:00,1061425.253,598516,1.05741,NO2,0.6615569591522217
2022-01-02 04:00:00+00:00,728665.789,387305,0.31934,NO3,-2.97753643989563
2022-01-02 04:00:00+00:00,731917.298,240435,0.31934,NO4,-1.8115239143371584
2022-01-02 04:00:00+00:00,388906.335,251669,1.05741,NO5,-9.098958015441896
2022-01-02 05:00:00+00:00,2114395.052,1065430,1.11845,NO1,2.9529242515563965
2022-01-02 05:00:00+00:00,1067362.35,598516,1.11845,NO2,0.5315278172492981
2022-01-02 05:00:00+00:00,736097.715,387305,0.31625,NO3,-2.7722599506378174
2022-01-02 05:00:00+00:00,737737.648,240435,0.31625,NO4,-1.8230303525924685
2022-01-02 05:00:00+00:00,390495.918,251669,1.11845,NO5,-8.892882347106934
2022-01-02 06:00:00+00:00,2152257.553,1065430,1.05102,NO1,3.0800600051879883
2022-01-02 06:00:00+00:00,1090301.812,598516,1.05102,NO2,0.4188903868198395
2022-01-02 06:00:00+00:00,750989.998,387305,0.32244,NO3,-2.5165255069732666
2022-01-02 06:00:00+00:00,748589.647,240435,0.32244,NO4,-1.8109064102172847
2022-01-02 06:00:00+00:00,399755.405,251669,1.05102,NO5,-8.66543197631836
2022-01-02 07:00:00+00:00,2221489.442,1065430,1.11405,NO1,2.9855382442474365
2022-01-02 07:00:00+00:00,1137159.172,598516,1.11405,NO2,0.5366831421852112
2022-01-02 07:00:00+00:00,783877.024,387305,0.32893,NO3,-2.3700196743011475
2022-01-02 07:00:00+00:00,767877.081,240435,0.32893,NO4,-1.4359612464904783
2022-01-02 07:00:00+00:00,417719.512,251669,1.11405,NO5,-8.57707691192627
2022-01-02 08:00:00+00:00,2342312.853,1065430,1.1568,NO1,2.981804132461548
2022-01-02 08:00:00+00:00,1220155.772,598516,1.1568,NO2,0.2535133063793182
2022-01-02 08:00:00+00:00,841841.683,387305,0.36269,NO3,-2.271572589874268
2022-01-02 08:00:00+00:00,797508.292,240435,0.36269,NO4,-1.478266954421997
2022-01-02 08:00:00+00:00,451289.467,251669,1.1568,NO5,-8.267192840576172
2022-01-02 09:00:00+00:00,2464581.236,1065430,1.21803,NO1,2.9054512977600098
2022-01-02 09:00:00+00:00,1296699.253,598516,1.21803,NO2,0.2046056091785431
2022-01-02 09:00:00+00:00,895574.242,387305,0.37248,NO3,-2.24370551109314
2022-01-02 09:00:00+00:00,828366.529,240435,0.37248,NO4,-1.6830532550811768
2022-01-02 09:00:00+00:00,486691.606,251669,1.21803,NO5,-8.058449745178223
2022-01-02 10:00:00+00:00,2532751.273,1065430,1.21164,NO1,2.9884467124938965
2022-01-02 10:00:00+00:00,1339187.603,598516,1.21164,NO2,0.1633679121732711
2022-01-02 10:00:00+00:00,922342.049,387305,0.37458,NO3,-2.2312533855438232
2022-01-02 10:00:00+00:00,850490.879,240435,0.37458,NO4,-1.873905062675476
2022-01-02 10:00:00+00:00,507153.24,251669,1.21164,NO5,-7.872855186462402
2022-01-02 11:00:00+00:00,2556669.233,1065430,1.12304,NO1,3.0984561443328857
2022-01-02 11:00:00+00:00,1351276.275,598516,1.12304,NO2,0.2271516472101211
2022-01-02 11:00:00+00:00,927813.14,387305,0.37448,NO3,-2.253835678100586
2022-01-02 11:00:00+00:00,861180.7,240435,0.37448,NO4,-2.0205836296081543
2022-01-02 11:00:00+00:00,515644.711,251669,1.12304,NO5,-7.723955154418945
